TextDate,Summary,MarketName,Period,ProfitAndLoss,Transaction type,Reference,Open level,Close level,Size,Currency,PL Amount,Cash transaction,DateUtc,OpenDateUtc,CurrencyIsoCode,Balance,Daily Return
04/06/2008,Closing trades,Spot FX (mini) AUD/USD, -,-39.4,DEAL,AQE37GAC,9530.8,9545.8,-0.25,A$,-39.4,False,2008-06-04 01:58:15,2008-06-04 01:53:14,AUD,,
04/06/2008,Closing trades,Spot FX (mini) AUD/USD, -,-39.4,DEAL,AQE37GAC,9530.8,9545.8,-0.25,A$,-39.4,False,2008-06-04 01:58:15,2008-06-04 01:53:14,AUD,147.56,
04/06/2008,Closing trades,Spot FX (mini) AUD/USD, -,-39.4,DEAL,AQE37GAC,9530.8,9545.8,-0.25,A$,-39.4,False,2008-06-04 01:58:15,2008-06-04 01:53:14,AUD,147.56,
04/06/2008,Closing trades,Spot FX (mini) AUD/USD, -,-39.4,DEAL,AQE37GAC,9530.8,9545.8,-0.25,A$,-39.4,False,2008-06-04 01:58:15,2008-06-04 01:53:14,AUD,,
13/06/2008,Closing trades,Spot FX AUD/JPY,-,-77.41,DEAL,ARGHWXAC,10131.2,10100.0,+0.25,A$,-77.41,False,2008-06-13 08:54:52,2008-06-13 03:56:00,AUD,,0.0
13/06/2008,Closing trades,Spot FX AUD/JPY,-,-77.41,DEAL,ARGHWXAC,10131.2,10100.0,+0.25,A$,-77.41,False,2008-06-13 08:54:52,2008-06-13 03:56:00,AUD,70.15,
13/06/2008,Closing trades,Spot FX AUD/JPY,-,-77.41,DEAL,ARGHWXAC,10131.2,10100.0,+0.25,A$,-77.41,False,2008-06-13 08:54:52,2008-06-13 03:56:00,AUD,70.15,
13/06/2008,Closing trades,Spot FX AUD/JPY,-,-77.41,DEAL,ARGHWXAC,10131.2,10100.0,+0.25,A$,-77.41,False,2008-06-13 08:54:52,2008-06-13 03:56:00,AUD,,
20/06/2008,Closing trades,Spot FX USD/CHF,-,0.0,DEAL,AR84JJAH,10350.8,10368.8,-1,A$,-180.56,False,2008-06-20 13:21:12,2008-06-20 12:35:13,AUD,-110.41,
20/06/2008,Closing trades,Spot FX USD/CHF,-,0.0,DEAL,AR84JJAH,10350.8,10368.8,-1,A$,-180.56,False,2008-06-20 13:21:12,2008-06-20 12:35:13,AUD,,
20/06/2008,Closing trades,Spot FX USD/CHF,-,0.0,DEAL,AR84JJAH,10350.8,10368.8,-1,A$,-180.56,False,2008-06-20 13:21:12,2008-06-20 12:35:13,AUD,-110.41,
20/06/2008,Closing trades,Spot FX USD/CHF,-,0.0,DEAL,AR84JJAH,10350.8,10368.8,-1,A$,-180.56,False,2008-06-20 13:21:12,2008-06-20 12:35:13,AUD,,
23/06/2008,Closing trades,Spot FX AUD/GBP,-,0.0,DEAL,ASAMQRAH,4826,4828.4,-1,A$,-49.99,False,2008-06-22 20:18:43,2008-06-20 17:41:42,AUD,-160.4,
23/06/2008,Closing trades,Spot FX AUD/GBP,-,0.0,DEAL,ASAMQRAH,4826,4828.4,-1,A$,-49.99,False,2008-06-22 20:18:43,2008-06-20 17:41:42,AUD,,
23/06/2008,Closing trades,Spot FX AUD/GBP,-,0.0,DEAL,ASAMQRAH,4826,4828.4,-1,A$,-49.99,False,2008-06-22 20:18:43,2008-06-20 17:41:42,AUD,,
23/06/2008,Closing trades,Spot FX AUD/GBP,-,0.0,DEAL,ASAMQRAH,4826,4828.4,-1,A$,-49.99,False,2008-06-22 20:18:43,2008-06-20 17:41:42,AUD,-160.4,
